rootid,store,categories,category_image,description,url_key,is_active,meta_title,url_path,is_anchor,meta_keywords,meta_description,display_mode
2,admin,Matériel De Nettoyage/Monobrosse/Monobrosses pliables (faible encombrement),,,,1,,,0,,,PRODUCTS
2,admin,"Matériel De Nettoyage/Monobrosse/Monobrosses ""Taski""",,,,1,,,0,,,PRODUCTS
2,admin,"Matériel De Nettoyage/Monobrosse/Monobrosses ""Ergodisc""",,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Machines Injection Extraction,injection-extraction-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Machines Injection Extraction/Machines injection-extraction 15 litres,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Machines Injection Extraction/Machines injection-extraction 50 litres,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Machines Injection Extraction/Injection-Extraction (transports aérien ou ferroviaire),,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Autolaveuses Balayeuse,autolaveuses-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Autolaveuses Balayeuse/Autolaveuses à batterie,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Autolaveuses Balayeuse/Autolaveuses à cable,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Autolaveuses Balayeuse/Autolaveuses autotractées,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Autolaveuses Balayeuse/Autolaveuses autoportées,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Autolaveuses Balayeuse/Autolaveuses faible encombrement,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Chariots d'entretien,chariots-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Chariots d'entretien/Chariot de lavage,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Chariots d'entretien/Chariot de ménage,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Chariots d'entretien/Chariot de ménage-lavage,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Chariots d'entretien/Chariot hôtelier,,,,1,,,0,,,PRODUCTS
2,admin,Matériel De Nettoyage/Chariots d'entretien/Chariot porte-sacs,,,,1,,,0,,,PRODUCTS
